pktTotalSize,pktMeanSize,pktVarSize,pktMinSize,serviceType,windowTotal,windowMean,windowVar,windowMin,windowMax,numberOfRstFlag,numberOfPshFlag,numberOfKeepAlive,numberOfSyncFlood,LABEL
10372,1296.5,359.0,40,31996,1064,133.0,0.0,133,133,0,3,0,0,Amazon
6120,765.0,362.0,40,32006,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
5472,684.0,438.5,40,32008,28430,3553.75,6666.0,219,26883,0,3,0,0,Amazon
5103,637.875,362.0,40,32010,28461,3557.625,6666.0,219,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,32011,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32012,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
5382,672.75,362.0,40,32013,67366,8420.75,16318.5,261,65535,0,2,0,0,Amazon
5487,685.875,374.5,40,32016,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6188,773.5,362.0,40,32017,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32018,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32019,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32021,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32020,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32022,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32023,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32024,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32025,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,32232,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
5103,637.875,371.75,40,32233,28444,3555.5,6666.0,219,26883,0,2,0,0,Amazon
5163,645.375,384.75,40,32234,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6120,765.0,362.0,40,32235,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32237,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32236,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
5103,637.875,371.75,40,32238,28444,3555.5,6666.0,219,26883,0,2,0,0,Amazon
